iter	Passed	Remaining
722	1791	686
723	1794	684
724	1796	681
725	1799	679
726	1800	676
727	1802	673
728	1803	670
729	1804	667
730	1804	664
731	1805	661
732	1808	658
733	1810	656
734	1812	653
735	1814	651
736	1816	648
737	1817	645
738	1818	642
739	1819	639
740	1820	636
741	1821	633
742	1824	631
743	1826	628
744	1830	626
745	1831	623
746	1832	620
747	1834	617
748	1835	614
749	1835	611
750	1836	608
751	1838	606
752	1840	603
753	1841	600
754	1845	598
755	1846	595
756	1847	592
757	1848	590
758	1849	587
759	1850	584
760	1852	581
761	1854	579
762	1859	577
763	1860	574
764	1861	571
765	1863	569
766	1864	566
767	1864	563
768	1865	560
769	1868	558
770	1870	555
771	1872	552
772	1875	550
773	1876	547
774	1877	545
775	1878	542
776	1879	539
777	1879	536
778	1880	533
779	1883	531
780	1885	528
781	1886	525
782	1887	523
783	1889	520
784	1890	517
785	1891	514
786	1892	512
787	1893	509
788	1894	506
789	1894	503
790	1895	500
791	1898	498
792	1900	496
793	1902	493
794	1904	491
795	1905	488
796	1906	485
797	1907	482
798	1908	480
799	1909	477
800	1910	474
801	1913	472
802	1914	469
803	1919	467
804	1920	465
805	1921	462
806	1922	459
807	1923	456
808	1923	454
809	1924	451
810	1925	448
811	1928	446
812	1931	444
813	1932	441
814	1934	439
815	1935	436
816	1936	433
817	1937	431
818	1938	428
819	1939	425
820	1940	423
821	1950	422
822	1951	419
823	1953	417
824	1954	414
825	1956	412
826	1963	410
827	1964	408
828	1966	405
829	1967	402
830	1968	400
831	1970	397
832	1971	395
833	1979	393
834	1980	391
835	1982	388
836	1983	386
837	1997	386
838	1999	383
839	2004	381
840	2007	379
841	2009	377
842	2012	374
843	2013	372
844	2015	369
845	2016	367
846	2019	364
847	2022	362
848	2023	359
849	2024	357
850	2026	354
851	2028	352
852	2037	351
853	2040	348
854	2041	346
855	2043	343
856	2045	341
857	2046	338
858	2048	336
859	2050	333
860	2052	331
861	2053	328
862	2054	326
863	2057	323
864	2059	321
865	2060	318
866	2062	316
867	2064	313
868	2069	311
869	2070	309
870	2083	308
871	2085	306
872	2087	303
873	2089	301
874	2093	299
875	2094	296
876	2096	294
877	2099	291
878	2101	289
879	2102	286
880	2106	284
881	2107	281
882	2109	279
883	2110	276
884	2114	274
885	2115	272
886	2117	269
887	2119	267
888	2129	265
889	2133	263
890	2135	261
891	2137	258
892	2144	256
893	2145	254
894	2148	252
895	2153	250
896	2159	247
897	2165	245
898	2167	243
899	2170	241
900	2172	238
901	2175	236
902	2208	237
903	2209	234
904	2213	232
905	2223	230
906	2225	228
907	2227	225
908	2231	223
909	2234	220
910	2236	218
911	2238	215
912	2245	213
913	2247	211
914	2248	208
915	2250	206
916	2251	203
917	2253	201
918	2279	200
919	2281	198
920	2282	195
921	2283	193
922	2285	190
923	2298	189
924	2299	186
925	2307	184
926	2310	181
927	2312	179
928	2314	176
929	2316	174
930	2319	171
931	2321	169
932	2324	166
933	2331	164
934	2335	162
935	2337	159
936	2339	157
937	2342	154
938	2344	152
939	2345	149
940	2347	147
941	2351	144
942	2353	142
943	2360	140
944	2362	137
945	2365	135
946	2368	132
947	2374	130
948	2378	127
949	2381	125
950	2382	122
951	2385	120
952	2388	117
953	2389	115
954	2390	112
955	2392	110
956	2394	107
957	2405	105
958	2407	102
959	2409	100
960	2412	97
961	2415	95
962	2422	93
963	2423	90
964	2425	87
965	2445	86
966	2446	83
967	2448	80
968	2449	78
969	2451	75
970	2452	73
971	2458	70
972	2460	68
973	2462	65
974	2463	63
975	2465	60
976	2468	58
977	2470	55
978	2472	53
979	2474	50
980	2475	47
981	2477	45
982	2479	42
983	2487	40
984	2490	37
985	2492	35
986	2493	32
987	2503	30
988	2505	27
989	2506	25
990	2508	22
991	2511	20
992	2514	17
993	2519	15
994	2520	12
995	2522	10
996	2523	7
997	2524	5
998	2528	2
999	2530	0
